source1,source2,count
greenwichtime.com,mrt.com,549
fredericksburg.com,newsadvance.com,549
greenwichtime.com,tucson.com,548
onenewsnow.com,pressofatlanticcity.com,548
greensboro.com,japantimes.co.jp,548
ksl.com,msn.com,547
greensboro.com,ktbs.com,547
ksl.com,wpxi.com,547
investing.com,reuters.com,547
missoulian.com,onenewsnow.com,547
pressofatlanticcity.com,wacotrib.com,546
chron.com,hickoryrecord.com,546
bostonherald.com,onenewsnow.com,546
herald-dispatch.com,princegeorgecitizen.com,546
ourmidland.com,registercitizen.com,545
siouxlandproud.com,wfmz.com,545
fox30jax.com,sfgate.com,545
actionnewsjax.com,sfgate.com,545
accesswdun.com,nzherald.co.nz,544
mynorthwest.com,startribune.com,544
kten.com,princegeorgecitizen.com,544
chieftain.com,msn.com,544
chieftain.com,registercitizen.com,544
montrealgazette.com,wacotrib.com,543
auburnpub.com,greensboro.com,543
nzherald.co.nz,thehour.com,542
japantimes.co.jp,yahoo.com,542
dentonrc.com,thedailytimes.com,541
herald-dispatch.com,wfmz.com,541
sfgate.com,wpxi.com,541
fresnobee.com,yahoo.com,540
plovdiv24.bg,trend.az,540
bakersfield.com,dentonrc.com,540
plovdiv24.bg,punchng.com,540
reuters.com,whbl.com,539
bakersfield.com,chron.com,539
bakersfield.com,wfmz.com,538
actionnewsjax.com,ksl.com,538
indiatimes.com,reuters.com,538
chieftain.com,texomashomepage.com,538
greensboro.com,middletownpress.com,537
ksl.com,seattletimes.com,537
eveningexpress.co.uk,eveningtelegraph.co.uk,537
newsadvance.com,startribune.com,537
fredericksburg.com,wfmz.com,537
tampabay.com,tbo.com,537
vancouversun.com,wfmz.com,536
chieftain.com,princegeorgecitizen.com,536
nzherald.co.nz,tampabay.com,536
vancouversun.com,wacotrib.com,536
fox23.com,tampabay.com,536
newsobserver.com,yahoo.com,536
bradfordera.com,wsoctv.com,536
chieftain.com,seattletimes.com,535
reuters.com,washingtonpost.com,535
ctpost.com,westport-news.com,535
dailymail.co.uk,iheart.com,535
chieftain.com,seattlepi.com,535
iheart.com,inilah.com,534
ksl.com,wftv.com,534
japantimes.co.jp,onenewsnow.com,534
bozemandailychronicle.com,tucson.com,533
bradfordera.com,nzherald.co.nz,533
accesswdun.com,onenewsnow.com,532
ksl.com,siouxcityjournal.com,532
dailymail.co.uk,washingtonpost.com,532
newsadvance.com,wsbtv.com,532
fairfieldcitizenonline.com,yahoo.com,532
newstimes.com,ourmidland.com,532
fredericksburg.com,tampabay.com,531
greensboro.com,ktrs.com,531
madison.com,yahoo.com,531
kfgo.com,reuters.com,531
dentonrc.com,wfmz.com,531
ourmidland.com,thehour.com,531
princegeorgecitizen.com,weyburnreview.com,531
ourmidland.com,wfmz.com,531
